no	pop	RA	DEC	Rhelio	Rhelio_err	pmra	pmra_err	pmdec	pmdec_err	phi1	phi2	pm1	pm2
1	BHB	212.0302	27.5003	17.2967	1.7297	-5.2112	0.1305	-0.6172	0.1437	-1.0169	-0.6473	3.5773	-0.2422
2	BHB	211.1383	28.7820	15.9393	1.5939	-5.2123	0.1166	-0.7325	0.1044	0.2826	0.1094	3.4694	-0.0848
3	BHB	212.2727	28.1715	16.2251	1.6225	-5.5180	0.1349	-0.9305	0.1404	-0.8848	0.0448	3.6424	-0.4972
4	BHB	212.6950	27.1924	15.8071	1.5807	-5.6548	0.1249	-0.9769	0.1363	-1.6828	-0.6347	3.7182	-0.5320
5	BHB	213.7126	28.3461	15.5797	1.5580	-5.8405	0.1152	-0.6391	0.1208	-1.9106	0.8110	4.0074	-0.3401
6	BHB	211.6359	28.5638	16.0564	1.6056	-5.4169	0.1140	-0.4610	0.1307	-0.2053	0.1230	3.7772	0.0175
7	RGB	195.3068	34.2154	21.6520	1.3741	-4.3092	0.3881	-1.9872	0.3450	14.8034	-0.4181	2.6937	-1.1015
8	RGB	202.6499	33.4567	21.6475	1.8703	-4.6716	0.2569	-0.9615	0.1753	8.8576	1.1352	3.2370	-0.5511
9	RGB	204.6825	31.4458	21.3098	1.6581	-4.6976	0.2340	-0.9712	0.2021	6.4674	0.0071	3.2133	-0.5985
10	RGB	204.8897	35.1409	18.9778	2.0912	-5.3810	0.1986	-1.3792	0.1389	7.8654	3.4324	3.5611	-1.0257
11	RGB	207.7039	30.0776	17.2575	1.2324	-4.6257	0.2220	-1.0034	0.1258	3.5350	-0.1058	2.9362	-0.1681
12	RGB	208.9051	29.6896	17.2590	1.2863	-5.3480	0.1310	-0.9136	0.0914	2.4302	0.0147	3.6020	-0.4556
13	RGB	209.8709	28.8610	16.9963	0.8251	-5.8456	0.2130	-0.8476	0.1748	1.3021	-0.3374	4.0484	-0.6151
14	RGB	209.7578	29.9678	17.0305	0.8117	-5.2011	0.0765	-0.8851	0.0542	1.8989	0.5999	3.4566	-0.3642
15	RGB	211.1529	28.3138	16.4268	0.4823	-5.3972	0.0669	-0.9246	0.0661	0.0512	-0.2978	3.5681	-0.4263
16	RGB	210.6149	28.7657	18.6889	1.0345	-5.1982	0.2352	-1.2038	0.2508	0.6804	-0.1198	3.3623	-0.9172
17	RGB	211.6564	28.2156	15.5932	0.7845	-5.4239	0.0779	-0.6604	0.0823	-0.3861	-0.1750	3.6677	-0.0695
18	RGB	213.3529	25.8162	15.6223	0.9959	-5.3910	0.2285	-0.9500	0.2119	-2.8641	-1.5543	3.4879	-0.3571
19	RGB	213.7877	25.1158	15.5186	0.5563	-5.7101	0.1064	-0.7134	0.0967	-3.5489	-1.9741	3.8738	-0.2963
20	RGB	213.7368	27.0737	17.2229	0.8812	-4.9750	0.2347	-0.5004	0.3135	-2.5511	-0.2887	3.4015	-0.0761
21	RGB	213.7444	28.6991	16.8205	1.1477	-5.4889	0.1831	-0.4822	0.1947	-1.7624	1.1325	3.8318	-0.2637
22	RGB	215.2901	27.0877	12.4913	0.4596	-5.6743	0.0975	-0.8364	0.1119	-3.7466	0.4070	3.5615	0.2789
23	RGB	215.4653	27.2993	18.0070	1.0454	-6.1283	0.2307	-0.5721	0.2842	-3.7757	0.6681	4.3691	-0.9047
24	RGB	215.9519	24.2550	17.7626	1.8410	-5.8570	0.2503	-0.7543	0.2383	-5.6841	-1.7440	4.0432	-0.8798
25	RGB	216.4128	25.8587	16.4943	0.7597	-5.8503	0.0857	-0.8306	0.1060	-5.2335	-0.1493	3.9321	-0.7682
26*	RGB	217.7949	23.6799	10.3904	0.4976	-6.0207	0.0979	-0.3381	0.1120	-7.4265	-1.3794	3.9355	1.2545
27	RGB	217.8405	24.8631	14.7913	0.9061	-6.0378	0.1080	-0.3962	0.1034	-6.8513	-0.3446	4.2221	-0.2042
28	RGB	219.8409	23.6443	15.5834	0.8387	-6.4060	0.1342	-0.4024	0.1373	-9.0432	-0.4306	4.5507	-0.6402
29	RGB	221.1630	22.9827	17.2438	0.7690	-6.2060	0.1721	-0.3184	0.1686	-10.4232	-0.3438	4.4759	-0.8088
30	RGB	220.6388	23.3639	14.3005	0.6498	-6.2007	0.1058	-0.2952	0.1365	-9.8121	-0.2797	4.3653	-0.1946
31	RGB	222.0228	22.5356	16.9056	1.3742	-5.7303	0.3589	-0.0170	0.3709	-11.3320	-0.2929	4.2191	-0.2725
32	RGB	224.5786	21.8593	16.3049	1.0889	-7.3919	0.3478	-0.3471	0.3517	-13.6814	0.4400	5.3777	-1.4567
33*	RGB	225.0265	24.9984	11.4767	0.8607	-6.7452	0.1837	-0.2462	0.2571	-12.2730	3.2758	4.6083	0.1346
34*	RGB	225.6367	23.1840	11.2105	0.4497	-6.4005	0.1028	-0.3936	0.1299	-13.7523	2.0848	4.2402	0.3159
35**	RGB	191.8986	33.1122	29.1899	3.0057	-3.8701	1.3128	-1.1017	0.5421	17.1370	-2.3727	2.8652	0.3140
36**	RGB	200.4530	34.5566	23.0920	1.7470	-4.5673	0.3618	-1.4991	0.3415	10.9650	1.4306	3.1950	0.1719
